domain,specification,dropped,cv_r2,delta_vs_full,delta_ci_low,delta_ci_high,worse_than_full,boot_share_worse_than_full
mental_health,H_only,E+D+F,0.026175065388573816,-0.6323622073452512,-0.685683139144874,-0.5674897527967891,True,1.0
mental_health,E_only,H+D+F,0.011800890647696533,-0.6467363820861285,-0.7025100458251637,-0.581644924928787,True,1.0
mental_health,D_only,H+E+F,0.03473222477086527,-0.6238050479629598,-0.6788627686843137,-0.5607040841456367,True,1.0
mental_health,F_only,H+E+D,0.6508016419075358,-0.007735630826289253,-0.019824425012192608,0.004347248577250789,False,0.894
mental_health,H+E,D+F,0.05725938036339266,-0.6012778923704324,-0.6585543781110693,-0.5339499100116748,True,1.0
mental_health,H+D,E+F,0.04787089283224848,-0.6106663799015766,-0.6640767215564612,-0.543229387323684,True,1.0
mental_health,H+F,E+D,0.6511634998400062,-0.007373772893818797,-0.01905391752356687,0.004388031246745597,False,0.891
mental_health,H+E+D,F,0.11387328898819855,-0.5446639837456264,-0.6083582126403281,-0.476578421195832,True,1.0
mental_health,H+E+F,D,0.6551715492257232,-0.0033657235081018255,-0.009737114726830148,0.002880062727467211,False,0.857
mental_health,H+D+F,E,0.6509587782743192,-0.007578494459505758,-0.019469910810026542,0.004271386442101178,False,0.891
mental_health,E+D+F,H,0.6576850249021167,-0.0008522478317083415,-0.0048514779896373815,0.0030454196937883845,False,0.688
mental_health,H+E+D+F,nothing,0.658537272733825,0.0,0.0,0.0,False,0.0
education,H_only,E+D+F,0.08749619133425546,-0.45388876920609933,-0.5754412047404384,-0.26240342378672976,True,1.0
education,E_only,H+D+F,-0.018635909244650396,-0.5600208697850052,-0.7033099586674342,-0.317278066212094,True,1.0
education,D_only,H+E+F,-0.008458876536937854,-0.5498438370772927,-0.7020582111120724,-0.2923733953680892,True,0.999
education,F_only,H+E+D,0.5410435946900658,-0.00034136585028898825,-0.019187972331961702,0.012451074397352354,False,0.565
education,H+E,D+F,0.0820605679157414,-0.4593243926246134,-0.5828562256624277,-0.2671281704825826,True,1.0
education,H+D,E+F,0.07149693064574365,-0.46988802989461115,-0.5830799346370513,-0.28166790234682126,True,1.0
education,H+F,E+D,0.5448504561557683,0.0034654956154135386,-0.007242313924838939,0.01077235290184488,False,0.261
education,H+E+D,F,0.07660487092075377,-0.46478008961960104,-0.5759142924491543,-0.2849946606983393,True,1.0
education,H+E+F,D,0.5449743664850641,0.0035894059447093563,-0.004325201787244592,0.009258139876883606,False,0.202
education,H+D+F,E,0.5433718994304284,0.0019869388900736196,-0.00023222985614553546,0.0044900302771348115,False,0.046
education,E+D+F,H,0.5381411564157291,-0.00324380412462566,-0.017008605289359872,0.007810341871789273,False,0.722
education,H+E+D+F,nothing,0.5413849605403548,0.0,0.0,0.0,False,0.0
health,H_only,E+D+F,-0.007003082952581207,-0.25429996640589825,-0.3924199864636742,0.0880340980290541,False,0.951
health,E_only,H+D+F,0.025460581917133344,-0.2218363015361837,-0.3453504101017813,0.03728710897358673,False,0.961
health,D_only,H+E+F,0.2311915684818361,-0.016105314971480933,-0.05143012489906349,0.03568548645360272,False,0.773
health,F_only,H+E+D,0.020953499627337023,-0.22634338382598002,-0.3477212346012426,0.04531849860015063,False,0.961
health,H+E,D+F,0.022865742319295206,-0.22443114113402185,-0.3472326812807892,0.0320823980903831,False,0.963
health,H+D,E+F,0.22921575008706235,-0.018081133366254692,-0.05068743880762072,0.029870526968951518,False,0.805
health,H+F,E+D,0.02347055837966446,-0.22382632507365258,-0.3428790645719653,0.024268615760552073,False,0.965
health,H+E+D,F,0.22264597809027992,-0.02465090536303713,-0.05776186676776693,0.02416995493737752,False,0.858
health,H+E+F,D,0.07115102463572494,-0.1761458588175921,-0.2799119946937614,-0.013304228895606377,True,0.981
health,H+D+F,E,0.25350842671490076,0.006211543261583713,0.0017312842193629302,0.011448939657522304,False,0.003
health,E+D+F,H,0.24968108236149464,0.0023841989081775927,-0.0023105886159466653,0.009148560843051838,False,0.187
health,H+E+D+F,nothing,0.24729688345331705,0.0,0.0,0.0,False,0.0
pooled,H_only,E+D+F,0.22171150814519308,-0.2746198827693297,-0.34116978226889244,-0.20674152687861114,True,1.0
pooled,E_only,H+D+F,0.18179961383828175,-0.314531777076241,-0.39223000618963333,-0.2291085892604084,True,1.0
pooled,D_only,H+E+F,0.23693954902264322,-0.2593918418918796,-0.3313635122325828,-0.18140520880109096,True,1.0
pooled,F_only,H+E+D,0.4687701960809886,-0.027561194833534197,-0.04647148309565714,-0.010687782543201725,True,0.999
pooled,H+E,D+F,0.21973525154644902,-0.27659613936807376,-0.34411658634593983,-0.20643928000153508,True,1.0
pooled,H+D,E+F,0.256170517248829,-0.24016087366569377,-0.296846095677061,-0.17890473654462505,True,1.0
pooled,H+F,E+D,0.482481271225324,-0.013850119689198748,-0.031994580302945046,0.0014599118445069242,False,0.963
pooled,H+E+D,F,0.2691743604341704,-0.22715703048035235,-0.28187261143782405,-0.16718738265703625,True,1.0
pooled,H+E+F,D,0.4821274662572363,-0.014203924657286482,-0.02896240883507313,-0.0009767059122591337,True,0.984
pooled,H+D+F,E,0.4973738411576756,0.0010424502431528038,-0.0008568342150763603,0.003030963285243731,False,0.185
pooled,E+D+F,H,0.48868430332130225,-0.007647087593220525,-0.019365904396441758,0.003311085025835013,False,0.909
pooled,H+E+D+F,nothing,0.4963313909145228,0.0,0.0,0.0,False,0.0
