domain,measure,n,at_scale_max,pct_at_scale_max,at_scale_min,pct_at_scale_min,pct_in_top_quintile,sd,sd_as_pct_of_scale_range
mental_health,OA,660,138.0,20.91,0.0,0.0,55.61,0.49,12.24
mental_health,E,660,13.0,1.97,0.0,0.0,20.76,0.582,14.56
mental_health,D,660,0.0,0.0,110.0,16.67,0.3,0.76,19.01
mental_health,F,660,153.0,23.18,0.0,0.0,63.03,0.491,12.28
mental_health,H,660,,,,,,0.022,14.84
education,OA,450,94.0,20.89,1.0,0.22,80.22,0.592,14.79
education,E,450,1.0,0.22,2.0,0.44,0.22,0.623,15.58
education,D,450,3.0,0.67,397.0,88.22,0.89,0.566,14.14
education,F,450,25.0,5.56,1.0,0.22,27.11,0.496,12.41
education,H,447,,,,,,0.029,7.55
health,OA,450,285.0,63.33,0.0,0.0,96.22,0.39,9.76
health,E,450,7.0,1.56,0.0,0.0,7.33,0.879,21.97
health,D,450,2.0,0.44,213.0,47.33,1.11,0.613,15.33
health,F,450,95.0,21.11,0.0,0.0,53.56,0.683,17.07
health,H,419,,,,,,0.023,17.62
