domain,predictor,n,spearman_rho,spearman_ci_low,spearman_ci_high,pearson_r
education,H,415,-0.041389283125530155,-0.15577461860009958,0.07297807180522507,-0.3489634340620471
education,E,415,-0.042452194779534665,-0.14508060607542644,0.0666733223862539,0.01523149396836588
education,D,415,-0.03946256646924858,-0.15732841024700814,0.10047085731261653,-0.18615272167427113
education,F,415,0.21937200185957026,0.08559909116515767,0.33906295030984007,0.7558388531760202
health,H,415,-0.0464208114984321,-0.15228565698345026,0.06402040026964442,-0.08301055962215391
health,E,415,-0.06579917213262637,-0.17225181213166388,0.04094497269406733,-0.24233885631115998
health,D,415,-0.07391725901608386,-0.18426322270663176,0.040171201004297226,-0.5353853682329293
health,F,415,0.05972708550184569,-0.04597376153652796,0.17441248171384785,0.2417217861413497
mental_health,H,660,-0.16658689646561375,-0.24487380740074652,-0.08797329886174389,-0.18354866791252739
mental_health,E,660,0.09602666014458783,0.010828442262011842,0.17845598973916646,0.13641385054946076
mental_health,D,660,-0.15942148095272396,-0.23026972659420153,-0.08255284113735648,-0.2032058178986748
mental_health,F,660,0.6936475277177037,0.6491190831499588,0.733090453747319,0.8088820532131084
