domain,variable_a,variable_b,n,spearman_rho,spearman_p,cluster_boot_ci_low,cluster_boot_ci_high,pearson_r,pearson_p,spearman_p_fdr,ci_excludes_zero
mental_health,H,OA,660,-0.16658689646561375,1.695114434894217e-05,-0.24487380740074652,-0.08797329886174389,-0.18354866791252739,2.0655984990629256e-06,5.65038144964739e-05,True
mental_health,H,E,660,0.18200036635077316,2.5241258320144354e-06,0.10568453489899735,0.25846939505307875,0.22817487485229068,3.04420391912805e-09,1.0817682137204723e-05,True
mental_health,H,D,660,0.2699476291495431,1.7473599728353482e-12,0.1930597172478168,0.3463356418775746,0.290795861778793,2.5009442007437925e-14,1.3105199796265112e-11,True
mental_health,H,F,660,-0.1594238292782545,3.884397444121948e-05,-0.23956813228964718,-0.06778623232380755,-0.18043826563797088,3.084680767214799e-06,9.713578072489687e-05,True
mental_health,OA,E,660,0.09602666014458783,0.013587080279060953,0.010828442262011842,0.17845598973916646,0.13641385054946076,0.00044085953367424774,0.025475775523239288,True
mental_health,OA,D,660,-0.15942148095272396,3.885431228995874e-05,-0.23026972659420153,-0.08255284113735648,-0.2032058178986748,1.3973973868040064e-07,9.713578072489687e-05,True
mental_health,OA,F,660,0.6936475277177037,7.951176048561363e-96,0.6491190831499588,0.733090453747319,0.8088820532131084,6.615857303935381e-154,2.385352814568409e-94,True
mental_health,E,D,660,0.3411794076179417,1.8724049693299472e-19,0.26432933218817567,0.418532184282291,0.41744383145268993,3.240150430357808e-29,1.8724049693299474e-18,True
mental_health,E,F,660,0.03681905851267626,0.3449520283534392,-0.04676996457390703,0.11659507818057771,0.08774045679381205,0.024185537794085304,0.4318965001956419,False
mental_health,D,F,660,-0.162067513168574,2.8720120843816134e-05,-0.2321719298760015,-0.08844759562601892,-0.20407210022287728,1.2330932626303094e-07,8.616036253144841e-05,True
education,H,OA,415,-0.041389283125530155,0.40035855551306343,-0.15577461860009958,0.07297807180522507,-0.3489634340620471,2.5016373872319995e-13,0.4619521794381501,False
education,H,E,415,0.08548858224222883,0.08195255848040549,-0.01659031700225035,0.19185906895566282,-0.027086442555042466,0.5821620302938805,0.14462216202424497,False
education,H,D,415,0.1737957322393732,0.00037523633995935264,0.06176497181414439,0.2790340108441223,0.09474052619971912,0.05378927886106886,0.0008659300152908139,True
education,H,F,415,-0.04877771449970749,0.3215534739314056,-0.15664198226050735,0.055170866072679466,-0.36435362122679404,1.786581992278638e-14,0.4318965001956419,False
education,OA,E,415,-0.042452194779534665,0.3883588645339443,-0.14508060607542644,0.0666733223862539,0.01523149396836588,0.757039200871041,0.4619521794381501,False
education,OA,D,415,-0.03946256646924858,0.4226679798438425,-0.15732841024700814,0.10047085731261653,-0.18615272167427113,0.0001366408093587591,0.4696310887153806,False
education,OA,F,415,0.21937200185957026,6.466665834305557e-06,0.08559909116515767,0.33906295030984007,0.7558388531760202,5.69877093582207e-78,2.424999687864584e-05,True
education,E,D,415,0.4925508227973353,9.505393531355902e-27,0.3790160210677755,0.5812751085506647,0.492530119883012,9.558787378993563e-27,1.4258090297033853e-25,True
education,E,F,415,0.075354700616887,0.12536420230145048,-0.041308736793510256,0.18509831974680932,0.07715900771348391,0.11654360932228268,0.20894033716908414,False
education,D,F,415,-0.01180332661963016,0.8105355938306842,-0.12851477488164,0.09130625240320922,-0.15671158215861417,0.0013617494991958914,0.838485097066225,False
health,H,OA,415,-0.0464208114984321,0.34551720015651355,-0.15228565698345026,0.06402040026964442,-0.08301055962215391,0.09124455491053819,0.4318965001956419,False
health,H,E,415,0.3013364442040994,3.694437877561536e-10,0.19505605934718695,0.3992110800906266,0.37449558322405047,2.898914308429487e-15,1.8472189387807678e-09,True
health,H,D,415,0.14014146881890538,0.0042308525754090505,0.0253350713199486,0.25192023936085,0.2169026905170773,8.253340005233023e-06,0.009066112661590823,True
health,H,F,415,0.033565689126974066,0.49529283149526737,-0.08833115595266884,0.15197086749723665,0.03567607299669428,0.4685652258664445,0.5306708908877865,False
health,OA,E,415,-0.06579917213262637,0.18094919517108468,-0.17225181213166388,0.04094497269406733,-0.24233885631115998,5.834985044728411e-07,0.27142379275662704,False
health,OA,D,415,-0.07391725901608386,0.13275542968964438,-0.18426322270663176,0.040171201004297226,-0.5353853682329293,3.724275525407926e-32,0.2096138363520701,False
health,OA,F,415,0.05972708550184569,0.22469142368909803,-0.04597376153652796,0.17441248171384785,0.2417217861413497,6.244885757768289e-07,0.3209877481272829,False
health,E,D,415,0.31779015526649906,3.4277804396620046e-11,0.20816159808672519,0.4186025998176282,0.47457354961431064,1.0695560636421123e-24,2.0566682637972025e-10,True
health,E,F,415,0.1308342179406673,0.007613705187858347,0.005685757134497712,0.24439888830738069,0.1197844363492695,0.014621069205818103,0.015227410375716694,True
health,D,F,415,0.009515450412051025,0.8467520947579327,-0.11469601647032611,0.1375338157470131,-0.12179623522908598,0.013030143572288426,0.8467520947579327,False
