domain,measure,n,mean,median,sd,iqr,q1,q3,min,max,skew
mental_health,OA,660,4.3169696969696965,4.2,0.48954151445636945,0.7999999999999998,4.0,4.8,1.8,5.0,-0.020028497121636245
mental_health,E,660,3.7363636363636363,4.0,0.5824536983001651,0.7999999999999998,3.2,4.0,1.8,5.0,-1.007915797337039
mental_health,D,660,2.0927272727272723,2.0,0.7602462372734597,1.2499999999999996,1.6,2.8499999999999996,1.0,4.2,0.1459233143778139
mental_health,F,660,4.36060606060606,4.2,0.49128328685698636,0.7999999999999998,4.0,4.8,1.8,5.0,-0.38065201505830804
mental_health,H,660,0.049800648317192504,0.050532585382461595,0.02202463446654437,0.028656719923019297,0.036185216903686424,0.06484193682670572,-0.0195564937591554,0.1288860750198361,-0.10338881200743846
education,OA,450,4.3133333333333335,4.2,0.5917397248828697,0.39999999999999947,4.2,4.6,1.0,5.0,-2.2601755240027166
education,E,450,2.368888888888889,2.0,0.6231689336935945,1.0,2.0,3.0,1.0,5.0,1.41723619340497
education,D,450,1.1737777777777776,1.0,0.5656275025716389,0.0,1.0,1.0,1.0,5.0,4.2053547264626605
education,F,450,4.034222222222223,4.0,0.4963855499552791,0.20000000000000018,4.0,4.2,1.0,5.0,-2.532475416232252
education,H,447,0.0299584877357653,0.027833786010742,0.028997587208388787,0.0266528165340423,0.0146324622631075,0.0412852787971498,-0.0305274295806885,0.3537032890319818,5.076552338187642
health,OA,450,4.853777777777777,5.0,0.39035868885407216,0.20000000000000018,4.8,5.0,1.8,5.0,-5.444923544083501
health,E,450,2.4955555555555557,2.1,0.8787659791589546,1.0,2.0,3.0,1.2,5.0,1.3010886100325678
health,D,450,1.2813333333333332,1.2,0.6130416336134356,0.19999999999999996,1.0,1.2,1.0,5.0,3.7355517306785484
health,F,450,4.189777777777778,4.2,0.6829664396105046,1.0,3.8,4.8,1.8,5.0,-0.5667608528856052
health,H,419,0.030538391901940302,0.032116732597351,0.02300061061628577,0.032461473941802946,0.01475305318832415,0.047214527130127096,-0.0365687847137454,0.093960728645325,-0.12089476438464039
