term,term_type,estimate,std_error_cluster_prompt,ci_low,ci_high,p_value
const,main_or_control,4.177203828308002,0.023874181183799432,4.130411293027372,4.223996363588633,0.0
z_H,main_or_control,-0.027262769855284082,0.01401924651069065,-0.05473998810662658,0.00021444839605841426,0.051815037081444824
z_E,main_or_control,0.08880883863450187,0.02655526871881128,0.036761468345848654,0.1408562089231551,0.0008248988431947365
z_D,main_or_control,-0.040479988170070674,0.013921371807503823,-0.06776537552816944,-0.013194600811971907,0.0036402926050292444
z_F,main_or_control,0.4385807256651407,0.017102317998308605,0.4050607983363047,0.47210065299397674,4.8671804968804024e-145
domain_education,main_or_control,0.2632104314649283,0.041476136715986045,0.18191869728373625,0.34450216564612035,2.208859874228785e-10
domain_health,main_or_control,0.570450189988545,0.04895267750987504,0.4745047051223861,0.666395674854704,2.2127426781083927e-31
z_H:x:domain_education,interaction,-0.015307729350876067,0.022630817688652216,-0.0596633169613264,0.029047858259574264,0.4987798662703279
z_H:x:domain_health,interaction,0.04281053620510933,0.02310767603732655,-0.0024796765944699387,0.08810074900468859,0.063931919030786
z_E:x:domain_education,interaction,-0.10005389662603961,0.04219198452541544,-0.18274866673212517,-0.017359126519954055,0.017721040727742797
z_E:x:domain_health,interaction,-0.10547744701492046,0.03678859039286177,-0.17758175922692576,-0.03337313480291515,0.004142208033838861
z_D:x:domain_education,interaction,-0.006685639255236179,0.041307124442139534,-0.08764611546674383,0.07427483695627149,0.8714224304103233
z_D:x:domain_health,interaction,-0.21470570156790414,0.061859878842098454,-0.3359488361864284,-0.09346256694937986,0.0005188343061266202
z_F:x:domain_education,interaction,0.05156900894750578,0.042610074698487634,-0.03194520284009138,0.13508322073510293,0.22618148248758185
z_F:x:domain_health,interaction,-0.3778214328563253,0.030031729483251925,-0.43668254103694876,-0.31896032467570185,2.6948755629488324e-36
