domain,comparison,cv_r2_baseline,cv_r2_model,delta_cv_r2,delta_ci_low,delta_ci_high,ci_excludes_zero
mental_health,H+E+D+F vs H_only,0.026175065388573816,0.658537272733825,0.6323622073452512,0.5674897527967891,0.685683139144874,True
mental_health,E+D+F vs H_only,0.026175065388573816,0.6576850249021167,0.6315099595135428,0.564358509672231,0.6864658297527891,True
mental_health,H+F vs H_only,0.026175065388573816,0.6511634998400062,0.6249884344514324,0.5564509640323454,0.6821203466212221,True
mental_health,F_only vs H_only,0.026175065388573816,0.6508016419075358,0.6246265765189619,0.5548633802966331,0.6838908470880986,True
mental_health,H+E+D+F vs E+D+F,0.6576850249021167,0.658537272733825,0.0008522478317083415,-0.0030454196937883867,0.0048514779896373815,False
mental_health,H+E+D+F vs F_only,0.6508016419075358,0.658537272733825,0.007735630826289253,-0.0043472485772507894,0.019824425012192608,False
education,H+E+D+F vs H_only,0.09917322944700221,0.5615564806938751,0.46238325124687285,0.2784323273956128,0.5981232287124695,True
education,E+D+F vs H_only,0.09917322944700221,0.5587928526678747,0.45961962322087246,0.26726993214918265,0.6000361324874126,True
education,H+F vs H_only,0.09917322944700221,0.5648916043352517,0.4657183748882494,0.27954790188159645,0.6014246856738282,True
education,F_only vs H_only,0.09917322944700221,0.5617404342615357,0.4625672048145335,0.2668589199474616,0.6039068586714333,True
education,H+E+D+F vs E+D+F,0.5587928526678747,0.5615564806938751,0.0027636280260003865,-0.007923770992476672,0.01537907572968539,False
education,H+E+D+F vs F_only,0.5617404342615357,0.5615564806938751,-0.00018395356766065518,-0.014265895648221966,0.019529175991392905,False
health,H+E+D+F vs H_only,-0.007392913091467762,0.2562024095219765,0.26359532261344426,-0.05330276757918423,0.4002611124271121,False
health,E+D+F vs H_only,-0.007392913091467762,0.25818156158926564,0.2655744746807334,-0.05068448866098944,0.40067651675074323,False
health,H+F vs H_only,-0.007392913091467762,0.028580586899946286,0.03597349999141405,-0.08257427113752658,0.08721733378989524,False
health,F_only vs H_only,-0.007392913091467762,0.02662551363255413,0.034018426724021895,-0.0724267775861629,0.08719912283199256,False
health,H+E+D+F vs E+D+F,0.25818156158926564,0.2562024095219765,-0.0019791520672891583,-0.00786069931076648,0.0032232685489971113,False
health,H+E+D+F vs F_only,0.02662551363255413,0.2562024095219765,0.22957689588942234,-0.031238132435749175,0.34841529036900637,False
pooled,H+E+D+F vs H_only,0.22072726584172941,0.49905510117364454,0.27832783533191513,0.20356096134297166,0.33927559406613694,True
pooled,E+D+F vs H_only,0.22072726584172941,0.49163288902643043,0.270905623184701,0.19558534238596173,0.33474679512997924,True
pooled,H+F vs H_only,0.22072726584172941,0.4841090164042866,0.2633817505625572,0.19546170060120002,0.3209021170704433,True
pooled,F_only vs H_only,0.22072726584172941,0.4706759837009695,0.2499487178592401,0.18022143333425367,0.3110852179083902,True
pooled,H+E+D+F vs E+D+F,0.49163288902643043,0.49905510117364454,0.007422212147214113,-0.0034234540865510695,0.01831427049778392,False
pooled,H+E+D+F vs F_only,0.4706759837009695,0.49905510117364454,0.02837911747267502,0.010129426068282528,0.04585998720691567,True
