variable_a,variable_b,spearman_rho,p_prompt_block_permutation,cluster_boot_ci_low,cluster_boot_ci_high,p_fdr
HuMT,OA,-0.09614413766887978,0.01699150424787606,-0.17082495401784936,-0.01109246984759422,0.03398300849575212
HuMT,E,0.2430855705560851,0.0004997501249375312,0.14795678707909588,0.3267336238507592,0.0016658337497917706
HuMT,D,0.10277832469243063,0.01649175412293853,0.014554460085648419,0.18318889644558015,0.03398300849575212
HuMT,F,-0.01683684044488497,0.7001499250374813,-0.10223405621153489,0.07396951497026737,0.7001499250374813
OA,E,-0.021897156959195918,0.5992003998001,-0.08972545974745051,0.05192918762141461,0.665778222000111
OA,D,-0.03681039920231793,0.375312343828086,-0.10156224701634639,0.03824238132492337,0.4691404297851075
OA,F,0.2905263769978147,0.0004997501249375312,0.21433843913663836,0.36370031192937324,0.0016658337497917706
E,D,0.19772662202970448,0.0004997501249375312,0.1210567058060138,0.27621057228759155,0.0016658337497917706
E,F,-0.07429212685897908,0.09295352323838081,-0.1690019330847777,0.01402944961846598,0.1549225387306347
D,F,-0.05495858132117924,0.19590204897551225,-0.1309629546172103,0.02911976896082341,0.2798600699650175
