model,metric,n,mean,sd,median,ci_low,ci_high
claude_opus_4_8,HuMT,220,0.054178444602272696,0.020581934553220795,0.05480829834938045,0.05145868246305095,0.05689820674149444
claude_opus_4_8,OA,220,4.478181818181818,0.46823906359089495,4.6,4.41630722257633,4.540056413787306
claude_opus_4_8,E,220,3.517272727272727,0.5751885283004334,3.2,3.441265490045292,3.5932799645001623
claude_opus_4_8,D,220,1.5227272727272725,0.5533062254859219,1.2,1.4496116324272303,1.5958429130273146
claude_opus_4_8,F,220,4.286363636363636,0.49026640278894434,4.2,4.221578278262828,4.351148994464444
gemini,HuMT,220,0.05948797846924173,0.021814563873322316,0.0616638779640199,0.056605332780476185,0.06237062415800728
gemini,OA,220,4.32090909090909,0.5345754009283523,4.4,4.250268601199793,4.3915495806183875
gemini,E,220,3.3072727272727276,0.5196959228441557,3.0,3.238598459010697,3.375946995534758
gemini,D,220,1.6636363636363636,0.7176480195403502,1.4,1.5688040772064236,1.7584686500663036
gemini,F,220,4.123636363636364,0.5320636609569548,4.0,4.053327783216746,4.193944944055982
glm,HuMT,220,0.055444888483394246,0.022644894715932947,0.056521878242492746,0.05245252024241084,0.058437256724377655
glm,OA,220,4.42,0.5016502447288645,4.6,4.353710344903833,4.486289655096167
glm,E,220,3.5463636363636364,0.6265331548333559,3.2,3.4635715572674437,3.629155715459829
glm,D,220,1.45,0.6000380505438441,1.2,1.3707090680547231,1.5292909319452768
glm,F,220,4.223636363636364,0.4974688944594958,4.1,4.157899245432394,4.289373481840333
