specification,predictors,r_squared,adjusted_r_squared,cv_r2,cv_rmse,aic,bic
HuMT_raw+E+D+F,HuMT+E+D+F,0.6663306881745064,0.6642930129877858,0.655171621685898,0.28725114364953264,214.72136324237476,237.18256241747713
H+E+D+F,H+E+D+F,0.6663306881745065,0.6642930129877859,0.655171621685898,0.28725114364953264,214.7213632423743,237.18256241747667
E+D+F,E+D+F,0.6644293176740775,0.6628946956512456,0.6541363290744104,0.28768203351238997,216.47161103900112,234.440570379083
H+E+F,H+E+F,0.6617824383639027,0.660235711710079,0.6525242808478001,0.28835168780231385,221.65706610355028,239.62602544363216
E+F,E+F,0.6586060790817447,0.6575668281809282,0.6512357643802356,0.2888858288535953,225.82650980779704,239.30322931285846
F,F,0.6542901760102526,0.6537647811409673,0.6501105760719432,0.2893514574572485,232.11793162398158,241.10241129402252
H+F,H+F,0.6557511561383106,0.654703214452278,0.6487462251688478,0.2899150538362456,231.3228415103208,244.79956101538224
D+F,D+F,0.6558076945290787,0.6547599249538247,0.6472286046654235,0.2905406795830551,231.21443620065247,244.6911557057139
H+D+F,H+D+F,0.6566471785129426,0.6550769674390688,0.6468089783968732,0.29071342922839905,231.60273194166257,249.57169128174445
H+E+D,H+E+D,0.12655578458846617,0.12256137506676701,0.11333910899823074,0.4606160248973662,847.8353016517553,865.8042609918373
E+D,E+D,0.10056971621789002,0.09783172448643751,0.08733430587366009,0.4673218956803474,865.1847068639213,878.6614263689827
H+E,H+E,0.06722519965168117,0.06438570254255371,0.06118891223686773,0.4739683824527043,889.2101953641657,902.686914869227
H+D,H+D,0.058213043344384596,0.05534611196948158,0.04729795189305552,0.4774620034351007,895.5562855550597,909.0330050601211
D,D,0.04129260442786953,0.039835602306939166,0.032425367222258195,0.4811743889657034,905.3087906392118,914.2932703092528
H,H,0.033690113492463314,0.03222155743394117,0.028026066372413116,0.482267033458696,910.5219075822575,919.5063872522985
HuMT_raw,HuMT,0.0336901134924632,0.03222155743394106,0.028026066372413005,0.48226703345869604,910.5219075822575,919.5063872522985
E,E,0.01860873862173018,0.01711726254060819,0.015894725659509,0.4852673214148113,920.7430920415912,929.7275717116322
