scheme,detail,spearman_rho_with_OA,p_value,cv_r2_or_rho,n,boot_ci_low,boot_ci_high,expected_equal_weight_sign,sign_matches_equal_weight
median_dimension_inputs,S from H + median E/D/F,0.32765280740897107,5.559533488624641e-18,0.32765280740897107,660,,,,
regression_weighted_S,fitted OA ~ H + E + D + F,0.4914711224028914,1.9780904986958698e-41,0.4914711224028914,660,,,,
leave_one_model_out,claude_opus_4_8,0.33401371376184985,6.290117394219216e-13,0.33401371376184985,440,,,,
leave_one_model_out,gemini,0.2830705697292477,1.4948147025115178e-09,0.2830705697292477,440,,,,
leave_one_model_out,glm,0.34461700305083964,1.0282865161888348e-13,0.34461700305083964,440,,,,
leave_one_dataset_out,ADV,0.34423355265211997,9.032411446844409e-10,0.34423355265211997,300,,,,
leave_one_dataset_out,EVAL,0.31193002570042083,1.453223777500749e-09,0.31193002570042083,360,,,,
prompt_cluster_bootstrap,"Spearman rho(S, OA)",0.32471733511877704,1.1351268809419444e-17,0.32471733511877704,660,0.2520553131142462,0.3901437739411945,,
ols_weight_sign_check,H,,0.01946113029138717,-0.06933106978453468,660,,,1.0,False
ols_weight_sign_check,E,,9.299393819897942e-32,0.3787112605140145,660,,,1.0,True
ols_weight_sign_check,D,,0.008670813955409563,-0.07355740129798786,660,,,-1.0,True
ols_weight_sign_check,F,,6.217963660607477e-09,0.2211696723666353,660,,,1.0,True
