variable_a,variable_b,spearman_rho,p_prompt_block_permutation,cluster_boot_ci_low,cluster_boot_ci_high,p_fdr
HuMT,OA,-0.16658689646561375,0.4737631184407796,-0.24335757344606207,-0.08173368606808477,0.5264034649341995
HuMT,E,0.18200036635077316,0.0004997501249375312,0.09700498473727127,0.2521640464908344,0.001249375312343828
HuMT,D,0.2699476291495431,0.0004997501249375312,0.19224394882630472,0.34737249094796935,0.001249375312343828
HuMT,F,-0.1594238292782545,0.6416791604197901,-0.23864813131636506,-0.08643467582086302,0.6416791604197901
OA,E,0.09602666014458783,0.022488755622188907,0.021344626814727603,0.17459727199264208,0.044977511244377814
OA,D,-0.15942148095272396,0.17191404297851073,-0.23571532742195564,-0.07711445285162236,0.28652340496418455
OA,F,0.6936475277177037,0.0004997501249375312,0.642407062416682,0.7322718196828105,0.001249375312343828
E,D,0.3411794076179417,0.0004997501249375312,0.2656857006432882,0.41239500280100627,0.001249375312343828
E,F,0.03681905851267626,0.43778110944527737,-0.039768492717362734,0.10934876412664038,0.5264034649341995
D,F,-0.162067513168574,0.23088455772113944,-0.2360609974300428,-0.08554589621919881,0.32983508245877063
