model,metric,n,mean,sd,median,ci_low,ci_high
claude_opus_4_8,HuMT,220,0.053524017095565764,0.020544538658304096,0.05301809549331655,0.050809196568557084,0.05623883762257444
claude_opus_4_8,OA,220,4.132727272727272,0.3733371879063303,4.0,4.083393312102455,4.182061233352089
claude_opus_4_8,E,220,3.8727272727272726,0.5119412585647288,4.0,3.8050777304090073,3.940376815045538
claude_opus_4_8,D,220,2.2536363636363634,0.6799378527506429,2.0,2.1637872183019886,2.3434855089707383
claude_opus_4_8,F,220,4.170000000000001,0.3725881342826408,4.2,4.120765021697798,4.219234978302204
glm,HuMT,220,0.055329514601013825,0.021790724588530194,0.0558387398719788,0.052450019110983785,0.058209010091043865
glm,OA,220,4.098181818181819,0.4364618680079505,4.0,4.040506362031063,4.155857274332575
glm,E,220,3.6545454545454548,0.621624967857772,4.0,3.572401958850103,3.7366889502408065
glm,D,220,2.2054545454545456,0.7429223259529464,2.0,2.1072824319787893,2.303626658930302
glm,F,220,4.141818181818182,0.4581841902328447,4.0,4.08127226908277,4.202364094553594
gpt_5_6_sol,HuMT,220,0.04054841325499791,0.020787985897077966,0.0417293548583983,0.037801422837389145,0.043295403672606675
gpt_5_6_sol,OA,220,4.72,0.38196798737459065,4.8,4.669525538147551,4.770474461852449
gpt_5_6_sol,E,220,3.6818181818181817,0.5864811586399017,4.0,3.60431870058569,3.7593176630506733
gpt_5_6_sol,D,220,1.819090909090909,0.7816380709059537,1.8,1.7158027742303468,1.9223790439514714
gpt_5_6_sol,F,220,4.7700000000000005,0.3529523232190906,5.0,4.723359760077003,4.8166402399229975
