specification,predictors,r_squared,adjusted_r_squared,cv_r2,cv_rmse,aic,bic
HuMT_raw+E+D+F,HuMT+E+D+F,0.6663306881745064,0.6642930129877858,0.6599362563908422,0.2852597073435768,214.7213632423743,237.18256241747667
H+E+D+F,H+E+D+F,0.6663306881745064,0.6642930129877858,0.6599362563908421,0.2852597073435768,214.7213632423743,237.18256241747667
E+D+F,E+D+F,0.6644293176740774,0.6628946956512454,0.65910283056589,0.28560904967278544,216.47161103900135,234.44057037908323
H+E+F,H+E+F,0.6617824383639028,0.6602357117100792,0.6564082574448085,0.2867356059054029,221.65706610355005,239.62602544363193
E+F,E+F,0.6586060790817447,0.6575668281809282,0.654356757715552,0.2875903449771956,225.82650980779704,239.30322931285846
D+F,D+F,0.6558076945290787,0.6547599249538247,0.6528717082048243,0.28820749597304235,231.2144362006527,244.69115570571412
F,F,0.6542901760102525,0.6537647811409673,0.6527227931880611,0.28826930859850075,232.11793162398158,241.10241129402252
H+F,H+F,0.6557511561383105,0.654703214452278,0.6526071839970228,0.2883172872849173,231.32284151032127,244.7995610153827
H+D+F,H+D+F,0.6566471785129426,0.6550769674390688,0.6523808302566191,0.28841120268281006,231.60273194166302,249.5716912817449
H+E+D,H+E+D,0.12655578458846617,0.12256137506676701,0.11322627408464758,0.46064533255967577,847.8353016517556,865.8042609918375
E+D,E+D,0.10056971621789002,0.09783172448643751,0.08838941992401272,0.4670516869428625,865.1847068639213,878.6614263689827
H+E,H+E,0.0672251996516815,0.06438570254255405,0.05791864702175775,0.4747931782270367,889.2101953641657,902.686914869227
H+D,H+D,0.058213043344384596,0.05534611196948158,0.05330721267295979,0.4759538023915432,895.5562855550597,909.0330050601211
D,D,0.041292604427869306,0.039835602306938944,0.03694714596780524,0.4800487331171399,905.3087906392118,914.2932703092528
H,H,0.0336901134924632,0.03222155743394106,0.030105167418781664,0.48175096063505485,910.5219075822574,919.5063872522984
HuMT_raw,HuMT,0.0336901134924632,0.03222155743394106,0.030105167418781664,0.48175096063505485,910.5219075822575,919.5063872522985
E,E,0.018608738621730514,0.017117262540608524,0.012303652770658702,0.4861519033362851,920.7430920415912,929.7275717116322
