condition,metric,n,mean,sd,median
v1,HuMT,660,0.056370437184969556,0.021782257461357247,0.0575619041919708
v1,OA,660,4.406363636363636,0.5056483281452676,4.6
v1,E,660,3.456969696969697,0.5843922687842295,3.2
v1,D,660,1.5454545454545454,0.6327869848445966,1.2
v1,F,660,4.211212121212121,0.5105815517088507,4.2
v2,HuMT,660,0.049800648317192504,0.02202463446654437,0.050532585382461595
v2,OA,660,4.3169696969696965,0.48954151445636945,4.2
v2,E,660,3.7363636363636363,0.5824536983001651,4.0
v2,D,660,2.0927272727272723,0.7602462372734597,2.0
v2,F,660,4.36060606060606,0.49128328685698636,4.2
