variable_a,variable_b,spearman_rho,p_prompt_block_permutation,cluster_boot_ci_low,cluster_boot_ci_high,p_fdr
HuMT,OA,-0.09614413766887978,0.01699150424787606,-0.17082495401784936,-0.01109246984759422,0.02998500749625187
HuMT,E,-0.02462836230367685,0.5947026486756621,-0.09737740707337722,0.05227060732202405,0.6607807207507358
HuMT,D,0.10277832469243063,0.01649175412293853,0.014554460085648419,0.18318889644558015,0.02998500749625187
HuMT,F,-0.01683684044488497,0.7001499250374813,-0.10223405621153489,0.07396951497026737,0.7001499250374813
OA,E,0.4387596841411669,0.0004997501249375312,0.3726925227969922,0.5070028505511558,0.0016658337497917706
OA,D,-0.03681039920231793,0.375312343828086,-0.10156224701634639,0.03824238132492337,0.4691404297851075
OA,F,0.2905263769978147,0.0004997501249375312,0.21433843913663836,0.36370031192937324,0.0016658337497917706
E,D,0.09572738855468124,0.017991004497751123,0.022699391521298844,0.16976647611164744,0.02998500749625187
E,F,0.18988228435143026,0.0004997501249375312,0.10371658148688107,0.2681925458648441,0.0016658337497917706
D,F,-0.05495858132117924,0.19590204897551225,-0.1309629546172103,0.02911976896082341,0.2798600699650175
