specification,predictors,r_squared,adjusted_r_squared,cv_r2,cv_rmse,aic,bic
H+E+D+F,H+E+D+F,0.2960931456400411,0.29179447782715584,0.28533394644962795,0.4271406380235808,750.1397180264269,772.6009172015292
HuMT_raw+E+D+F,HuMT+E+D+F,0.29609314564004097,0.29179447782715573,0.28533394644962795,0.4271406380235808,750.1397180264269,772.6009172015292
E+D+F,E+D+F,0.29017028186074145,0.28692410936925095,0.2803658484907604,0.42862272977050325,753.6699038352942,771.6388631753762
H+E+F,H+E+F,0.28795535439684605,0.2846990526639047,0.2802681746857505,0.4286518166283037,755.7261379807135,773.6950973207954
E+F,E+F,0.279799866228609,0.2776074761714662,0.2724387881834428,0.43097699033072945,761.2425631685139,774.7192826735753
H+E+D,H+E+D,0.24898323348839224,0.24554870559275987,0.24226025922445216,0.43982442915669323,790.8957976606034,808.8647570006854
E+D,E+D,0.2435746671530452,0.24127200251728576,0.23844921837401611,0.440929087173228,793.6318589666612,807.1085784717226
H+E,H+E,0.2368833457317957,0.23456031177664127,0.23272806496477616,0.4425822289731443,799.4445324182607,812.9212519233221
E,E,0.22886998251310353,0.22769805239534224,0.2259196446070687,0.44454152826773585,804.3389489614763,813.3234286315172
H+F,H+F,0.11625742621331825,0.11356719006784877,0.10847864741996616,0.47707338613812345,896.3027700865123,909.7794895915737
H+D+F,H+D+F,0.11731110731502536,0.11327442030579526,0.10365334001939885,0.47836270985438384,897.5153864570786,915.4843457971606
F,F,0.10554226914786169,0.104182910894287,0.09945989742887251,0.47948038337028326,902.2569800180952,911.2414596881362
D+F,D+F,0.10765157795959635,0.10493514440696183,0.09670196210385429,0.4802140347507393,902.6987310047143,916.1754505097757
H,H,0.01095394189708454,0.009450832386289743,0.005298289109355481,0.5039248180087229,968.6023273812212,977.5868070512622
HuMT_raw,HuMT,0.01095394189708454,0.009450832386289743,0.005298289109355481,0.5039248180087229,968.6023273812212,977.5868070512622
H+D,H+D,0.013643849545626918,0.010641243303756598,0.003626708212460694,0.5043480592163967,968.8048806256752,982.2816001307366
D,D,0.004265227160331175,0.0027519524295717135,-0.0010490316195319593,0.5055300660933097,973.0507464403327,982.0352261103736
