dataset_family,metric,mean,std,median,iqr,ci_low,ci_high,n
CounselBench-ADV,HuMT,0.05396874796681932,0.02165821152348208,0.055248794555664546,0.028478055000305473,0.051731472648343386,0.05620602328529526,360
CounselBench-ADV,E,3.261111111111111,0.8948250409522502,3.0,1.0,3.168676425250456,3.3535457969717664,360
CounselBench-ADV,D,1.0333333333333334,0.20845632395591762,1.0,0.0,1.011799967659942,1.0548666990067248,360
CounselBench-ADV,F,4.052777777777778,0.5684294499902498,4.0,0.0,3.9940594862245162,4.11149606933104,360
CounselBench-ADV,OA,4.183333333333334,0.9844190062896438,5.0,2.0,4.081643665032582,4.285023001634086,360
CounselBench-EVAL,HuMT,0.059252464246749834,0.02161584566550052,0.060985940694808755,0.0297840690612792,0.05680644598824257,0.0616984825052571,300
CounselBench-EVAL,E,3.36,0.938083151964686,3.0,1.0,3.2538478487859552,3.4661521512140445,300
CounselBench-EVAL,D,1.01,0.09966499068325334,1.0,0.0,0.9987220518355996,1.0212779481644003,300
CounselBench-EVAL,F,4.04,0.5884052479252315,4.0,0.0,3.9734169015592253,4.106583098440774,300
CounselBench-EVAL,OA,4.23,0.9309433486494487,5.0,2.0,4.124655778743519,4.335344221256482,300
