var_a,var_b,pearson_r,pearson_p,spearman_r,spearman_p,kendall_tau,kendall_p,partial_r,distance_corr,mutual_info
HuMT,E,0.22207859069726965,8.086351552606455e-09,0.22594478039365684,4.366016824985654e-09,0.16998359685220849,8.646509900363781e-09,0.03623336887023387,0.2321277280188625,0.02920390027161268
HuMT,D,-0.04100551082395692,0.29284718207362714,-0.06888565669144044,0.07698553182983357,-0.05634645456123191,0.0763148919423578,-0.03988523446463629,0.07560977264842338,0.004320330257112204
HuMT,F,0.041365677921492545,0.288624793747761,0.049585677202022733,0.20328535568063102,0.0385186299937353,0.20980720444550016,-0.0431121644469702,0.08530781074051626,0.0
HuMT,OA,0.20781366108063595,7.13907412384308e-08,0.2094010152467883,5.644225576126734e-08,0.1607814422367386,7.489704389366151e-08,0.06340404914480238,0.2032587343425335,0.021406218361351037
E,D,0.013882097964547289,0.7218565403926533,0.010671393361935915,0.7843603930146323,0.00989110384700777,0.7840600997313139,0.0774075076603237,0.021260034618189427,0.00021502901670356067
E,F,0.10773882352038815,0.005593895090090787,0.12111418237432968,0.0018266246674033164,0.10581707777122235,0.0024101319450100457,-0.7244090424082287,0.18112236728225695,0.05198143330009719
E,OA,0.7972078841360857,2.3624386919302352e-146,0.8205293238144952,5.586589055342076e-162,0.7628390580936092,6.716449266528434e-112,0.9045712307834871,0.821756595487992,0.5409507720065063
D,F,-0.026631928748409993,0.4945999882439882,-0.017210042531419553,0.6589751398595333,-0.016630365743950503,0.6577499912686451,0.045217936162945775,0.04135258402503929,0.0008788215259372123
D,OA,-0.028820620909851,0.4598067005794484,-0.010925138227773355,0.7793638029051622,-0.010255564561160219,0.7789075171966977,-0.0732273977936915,0.03099340954292973,0.0
F,OA,0.5823588877927844,3.4818301089528205e-61,0.5470259631135928,8.82992135837746e-53,0.5067986233262107,9.255262262564708e-47,0.8277547525262654,0.5037550767370313,0.24819179581870188
