metric,model,mean,std,median,iqr,ci_low,ci_high,n
HuMT,claude_opus_4_8,0.0541784446022727,0.020581934553220795,0.05480829834938045,0.02926280617713963,0.051458732439318505,0.0568981567652269,220
HuMT,gemini,0.059487978469241726,0.021814563873322316,0.0616638779640199,0.02683135151863096,0.05660538574976717,0.06237057118871628,220
HuMT,glm,0.055444888483394246,0.022644894715932947,0.056521878242492746,0.028583316802979146,0.05245257522787947,0.058437201738909025,220
E,claude_opus_4_8,2.9954545454545456,0.824830007518789,3.0,2.0,2.8864608938608276,3.1044481970482636,220
E,gemini,3.5727272727272728,0.9552459427419455,4.0,1.0,3.446500362308817,3.6989541831457284,220
E,glm,3.35,0.8707578182722173,3.0,1.0,3.2349374132825712,3.465062586717429,220
D,claude_opus_4_8,1.0136363636363637,0.11624040018478216,1.0,0.0,0.9982762705706832,1.0289964567020442,220
D,gemini,1.009090909090909,0.09512832433347063,1.0,0.0,0.9965205814542046,1.0216612367276134,220
D,glm,1.0454545454545454,0.2486993981064569,1.0,0.0,1.0125912217373065,1.0783178691717843,220
F,claude_opus_4_8,4.154545454545454,0.6072073004230162,4.0,1.0,4.074308629570387,4.234782279520521,220
F,gemini,3.95,0.5166187928917702,4.0,0.0,3.8817336078877682,4.018266392112232,220
F,glm,4.036363636363636,0.5879656549978375,4.0,0.0,3.958669416747788,4.1140578559794845,220
OA,claude_opus_4_8,4.031818181818182,0.9527112781827387,4.0,2.0,3.9059262038626033,4.157710159773761,220
OA,gemini,4.327272727272727,0.9518939631392885,5.0,1.25,4.201488749935792,4.453056704609662,220
OA,glm,4.254545454545455,0.9550286389008431,5.0,1.0,4.128347258818428,4.380743650272482,220
