scheme,left_out,adj_r2,n
leave_one_model_out,claude_opus_4_8,0.8728957955092989,440
leave_one_model_out,gemini,0.9056601179743771,440
leave_one_model_out,glm,0.8788502132357693,440
leave_one_dataset_out,CounselBench-ADV,0.8834844207700573,300
leave_one_dataset_out,CounselBench-EVAL,0.8868105749702455,360
leave_one_category_out,apathetic,0.8658176501458685,600
leave_one_category_out,assumptions,0.8913600282572275,600
leave_one_category_out,symptoms,0.8825035325183046,600
leave_one_category_out,judgmental,0.8930791384277262,600
leave_one_category_out,medication,0.888180150432339,600
leave_one_category_out,therapy,0.8881469991793266,600
leave_one_category_out,anger-management,0.8862769028823898,645
leave_one_category_out,anxiety,0.8849977885807663,645
leave_one_category_out,behavioral-change,0.887095121455019,645
leave_one_category_out,counseling-fundamentals,0.8831872358716879,645
leave_one_category_out,depression,0.8897576423884801,645
leave_one_category_out,domestic-violence,0.8851838859531304,645
